,username,description,location,likes,retweets,following,followers,totaltweets,text,hashtags,date,langs
1,REoptimizer,REoptimizer® is the world's first and most efficient #CRE Optimization Software. #CRE #CREtech #Office #Warehouse #Retail #TenantTips #TenantRep #Leasing,"Commack, NY",0,0,3870,4579,124890,"Roadmap to Returning to Your Office Post-COVID-19 #CRE #COVID-19 #NewNormal #Office #RoadMap      
https://t.co/1f0FOZ42Tu","['CRE', 'COVID', 'NewNormal', 'Office', 'RoadMap']",2020-07-09 23:59:59,en
4,Groovy_Ky,Realtor for Better Homes and Gardens Real Estate. Follow my IG @K_Hunte Morgan State Alum... The Marathon Continues 🏁🏁,Maryland,0,0,5289,5121,596835,NFL teams will be forbidden from postgame interactions within 6 feet of each other and jersey exchanges between pla… https://t.co/DOCcydUmfg,[],2020-07-09 23:59:59,en
7,willmack1987,"aspiring writer, film buff, music enthusiast, entertainment influencer","New Jersey, USA",0,0,3092,219,8093,"Who among us hasn't spent all day sitting at a desk in Home Depot, with someone breathing COVID-19 on us?

Really..… https://t.co/ZZQJ9yWNFc",[],2020-07-09 23:59:59,en
9,anihc1959,"trump needs to go, while we still are 🇺🇸 America.. With Joe all the way.",,0,0,4924,3108,26971,BREAKING: Member of White House press corps tests positive for coronavirus,[],2020-07-09 23:59:59,en
10,JPatrickAssocs,"We place the best employees at the most sought after jobs.  Our track record speaks for itself.  We specialize in the InfoSec, Telecom, and AV/VTC sector.","New Paltz, NY",0,0,2498,1187,3867,COVID 19 has changed many aspects of our lives as we know it and changes when searching for a job is no exception.… https://t.co/dt6sHLBJKq,[],2020-07-09 23:59:59,en
11,illiragroup,"Illira takes a holistic approach to public safety, offering comprehensive solutions & services to institutions and individuals alike.",Australia,0,0,1781,365,4962,The most common ways in which household incomes were diminished were lay-offs and furloughs. #Staysafe #Covid_19… https://t.co/ybilSzGENa,"['Staysafe', 'Covid_19']",2020-07-09 23:59:59,en
12,grownupin40s,姨粉，日常羞辱文明洼地，秽语综合症患者. 古今中外的做题家都是臭傻逼. F**K Communists. In God We Trust.,Nigeria,0,0,843,288,39066,JUST IN: Bolivia's interim president tests positive for COVID-19 https://t.co/FFVEp7dWPN https://t.co/9mYiExcv7s,[],2020-07-09 23:59:59,en
15,dhuse42,Novelist. On last draft of SFF series book 1. Servant to cockatiel 🐦. Proud Dem. Engaged to tough angel 🎯👼 He/him. Blocked by William Shatner.,NorCal,0,0,3181,860,37388,"I keep thinking that if Hillary had won, and Coronavirus had hit, it wouldn't have been AS BAD, but b/c our healthc… https://t.co/M1vxVjr4rG",[],2020-07-09 23:59:59,en
17,Peepers06006845,We must get Trump out of office. We deserve better. Our Democracy has been murdered by the GOP. #TheResistance #Resist,,0,0,2416,993,43477,"WHO reverses, says COVID-19 can be airborne indoors https://t.co/bpbURA8NiM https://t.co/9XBpKaq1N3",[],2020-07-09 23:59:59,en
18,Bandylouise,I try hard to do the right thing.,,0,0,151,87,13825,"Florida Democratic Party to return $780,000 in coronavirus aid money, after bipartisan backlash | Just The News https://t.co/HM9wznTLzt",[],2020-07-09 23:59:58,en
20,GopinathSelvam6,,,0,0,494,57,2882,"Taken charge as Joint Commissioner of Police, North Zone, Greater Chennai City. Redress of public grievance by adop… https://t.co/AuhWTqYPKg",[],2020-07-09 23:59:58,en
21,CarolHampton63,,"Cheyenne, WY",0,0,137,162,6501,@realDonaldTrump Do you call it China virus because you’re a racist idiot OR because you still don’t understand wha… https://t.co/z81yPf4I86,[],2020-07-09 23:59:58,en
27,Doc_Aybolit,,,0,0,134,61,13560,@dvillella @realDonaldTrump Imagine how many thousands of American lives and Millions of jobs would have been saved… https://t.co/4TIhcgg9C0,[],2020-07-09 23:59:58,en
28,BeHereNow44,artist 🌙 Twitter is a chaos flower that blooms backwards into your soul.,,0,0,426,239,7333,USC is offering international students *free* in-person classes after the Trump admin said they would have to leave… https://t.co/wRHduAGI67,[],2020-07-09 23:59:58,en
30,nwparsons,I am an advocate that has dedicated most of my life to helping others.,"Cleveland, OH",0,0,3657,1688,144117,"On May 19, NYC corrections officials told the City Council that newly incarcerated people were being “universally”… https://t.co/Qjc1On2W3y",[],2020-07-09 23:59:58,en
31,Josephid5,Digital Marketer|Forex Trader|Public Health Enthusiast|Emerging Social Entrepreneur|Creative Graphics Designer|Script Editor|Optimist/God Seeker|OAU Alumnus,"Abuja, Nigeria",0,0,4965,1123,16241,"We'll Reopen For Visa Application In Nigeria Soon —British High Commission | Sahara Reporters 
The process had been… https://t.co/gRBS97Sp8I",[],2020-07-09 23:59:58,en
32,AVIVAX,A VIVAS PROMOCIONES. EVENTOS Y ESPECTACULOS,MARACAY,0,0,770,220,1447,@nelsonbauterive POR ESO MISMO HERMANO NO CREO QUE DIOS LE DE LA DICHA DE NO MORIR CON UN PALO ENTRE EL CULO EN UNA… https://t.co/O78zVJNz1M,[],2020-07-09 23:59:58,en
34,deadlycognizant,Silence is the death of truth. Argument is the only proven way to change a man’s mind.,Hong Kong,0,0,606,54,1985,@IJasonAlexander Oooo. I dunno. Maybe because of the American Academy of Peditricians. Fucking clueless doctors. https://t.co/FGYqVOHzNJ,[],2020-07-09 23:59:58,en
37,denisthehat88,"Do not add me to lists, or I will block you, ta.",London ,0,0,1521,822,139869,"Schools can't even control lice, you think they can control Covid-19.",[],2020-07-09 23:59:58,en
41,Sainaga55319456,,,0,0,467,62,12995,US trained foreign doctors bring economic activity and revenue. 2.3 trillion was generated by all doctors in 2018.… https://t.co/i7n2wrnU1f,[],2020-07-09 23:59:57,en
42,js92879,Spiritual-Mental-Physical Growth...,,0,0,2993,969,48933,"Northbound 15 Freeway, 91 Freeway lanes in Corona to close this weekend https://t.co/XqdRow3vEw",[],2020-07-09 23:59:57,en
43,1PrinceFan1,,,0,0,75,100,10534,COVID 19: You’ve either had it or you will get it. You will either die from it or recover like more than 99% do. Th… https://t.co/PmwJWyYkzR,[],2020-07-09 23:59:57,en
44,TheGoodTomKing,"Everybody can relax, I found the car
--------
Censorship is the child of fear and the father of ignorance
--------
#FandomMenace OG - Welcome to the Rebellion -",Outside the Overton Window,0,0,170,189,17713,"The evidence keeps piling up

https://t.co/QTOzaytcNg",[],2020-07-09 23:59:57,en
45,JohnMayLives5,A group within a country at war who are sympathetic to or working for its enemies.,United States,0,0,3371,194,17952,"Florida reopened too fast, jumping ‘over a couple of checkpoints,' Dr. Anthony Fauci says https://t.co/OlCSUWrkcp",[],2020-07-09 23:59:57,en
50,ItsMikeMeUp,Recruiter for Killer Instinct,"Brooklyn,NY",6,0,236,322,2148,2020 has been one of the most painful years for me. And now a tropical storm is hitting the east coast. Depression… https://t.co/pNEjJnyM9P,[],2020-07-09 23:59:57,en
52,Im365886,"Navy NAC Vet. Patriot. Mama. ethos: Love, compassion, truth. The awakening is here.",,0,0,816,190,5655,"Five patients with COVID-19 were treated with Remdesivir in a university hospital in Paris.

Remdesivir was stopped… https://t.co/hREBKRRpbQ",[],2020-07-09 23:59:57,en
58,rebel_barr,#Resistance 🌻#environment #LGBTQAlly #critters #noPoliceMilitarization #voteBlueNoMatterWho #washyourhands #trumpslump,"Minnesota, USA",0,0,3517,1442,41832,Been sick for 3 days &amp; got my test results back. I have COVID-19 &amp; have never felt so sick in my life. Obviously I… https://t.co/g0wkLiWcAl,[],2020-07-09 23:59:57,en
60,iliveinacastle_,1/1.,lou,0,0,363,646,17148,"Due to Covid-19 I will not shake hands or hug anymore, You may either Kneel or Bow to me",[],2020-07-09 23:59:57,en
64,DaveLackfordESQ,"Criminal defense attorney in Louisville, Kentucky. Sardonic recruiting analyst at http://cardinalsports.com","Louisville, KY",50,3,544,6177,95924,My theory as to why coronavirus cases have been so low and non-lethal in Kentucky. The air here sucks so bad that y… https://t.co/Ss0VdevtZ9,[],2020-07-09 23:59:57,en
65,ghia1212,"Network of experts to assist in development, strengthening of projects addressing health and social challenges. https://www.rebelmouse.com/ghia1212/",Washington DC USA ,0,0,456,976,55445,Most People With Coronavirus Won’t Spread It. Why Do a Few Infect Many?  https://t.co/o8NRv2Cpvi,[],2020-07-09 23:59:57,en
66,boldlygoat,"🥀she/her, queer white latinx, i retweet art & other stuff. new student of PIC Abolition and Transformative Justice ⚖️ BLM — Land Back",Nacotchtank land (DMV),0,0,1310,191,23409,"As some of us have been saying since March, the spread of the pandemic in jails/prisons is inextricably linked to t… https://t.co/cenpMmHbG8",[],2020-07-09 23:59:56,en
67,MDCPSOperations,,,0,0,43,2356,2407,"'It Cannot Be A One Size Fits All Approach' To Reopening Public Schools, Says Miami-Dade Superintendent Alberto Car… https://t.co/bg8PFm2XYF",[],2020-07-09 23:59:56,en
